,product_name,main_category,main_category_en,image_url,energy,energy_from_fat,fat,saturated_fat,butyric_acid,caproic_acid,caprylic_acid,capric_acid,lauric_acid,myristic_acid,palmitic_acid,stearic_acid,arachidic_acid,behenic_acid,lignoceric_acid,cerotic_acid,montanic_acid,melissic_acid,monounsaturated_fat,polyunsaturated_fat,omega_3_fat,alpha_linolenic_acid,eicosapentaenoic_acid,docosahexaenoic_acid,omega_6_fat,linoleic_acid,arachidonic_acid,gamma_linolenic_acid,dihomo_gamma_linolenic_acid,omega_9_fat,oleic_acid,elaidic_acid,gondoic_acid,mead_acid,erucic_acid,nervonic_acid,trans_fat,cholesterol,carbohydrates,sugars,sucrose,glucose,fructose,lactose,maltose,maltodextrins,starch,polyols,fiber,proteins,casein,serum_proteins,nucleotides,salt,sodium,alcohol,vitamin_a,beta_carotene,vitamin_d,vitamin_e,vitamin_k,vitamin_c,vitamin_b1,vitamin_b2,vitamin_pp,vitamin_b6,vitamin_b9,folates,vitamin_b12,biotin,pantothenic_acid,silica,bicarbonate,potassium,chloride,calcium,phosphorus,iron,magnesium,zinc,copper,manganese,fluoride,selenium,chromium,molybdenum,iodine,caffeine,taurine,ph,fruits_vegetables_nuts,fruits_vegetables_nuts_estimate,collagen_meat_protein_ratio,cocoa,chlorophyl,carbon_footprint,nutrition_score_fr,nutrition_score_uk,glycemic_index,water_hardness
34,Green Pepper Sauce,en:groceries,Groceries,http://en.openfoodfacts.org/images/products/001/121/060/1369/front.8.400.jpg,46.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,0.0,,,,,,,,,1.2,0.6,,,,7.4,2.9133858267716497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,,
35,Chipotle pepper sauce - smoked red Jalapeños,en:groceries,Groceries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Tomato Ketchup,en:groceries,Groceries,,494.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,29.41,23.53,,,,,,,,,,0.0,,,,2.39014,0.941,,0.0001764,,,,,0.0071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,16.0,,
37,Tomato Ketchup,en:groceries,Groceries,,494.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,29.41,23.53,,,,,,,,,0.0,0.0,,,,2.39014,0.941,,0.0001764,,,,,0.0071,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,16.0,16.0,,
38,Tomato Ketchup,en:groceries,Groceries,,494.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,29.41,23.53,,,,,,,,,0.0,0.0,,,,2.39014,0.941,,0.0001764,,,,,0.0071,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,16.0,16.0,,
39,Tomato Ketchup,en:groceries,Groceries,,494.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,29.41,23.53,,,,,,,,,0.0,0.0,,,,2.39014,0.941,,0.0001764,,,,,0.0071,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,16.0,16.0,,
40,Tomato Ketchup,en:groceries,Groceries,,494.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,29.41,23.53,,,,,,,,,0.0,0.0,,,,2.39014,0.941,,0.0001764,,,,,0.0071,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,16.0,16.0,,
41,Tomato Ketchup,en:groceries,Groceries,,494.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,23.53,23.53,,,,,,,,,0.0,0.0,,,,2.39014,0.941,,0.0001764,,,,,0.0071,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,16.0,16.0,,
42,Tomato Ketchup,en:groceries,Groceries,,494.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.41,23.53,,,,,,,,,,0.0,,,,2.39014,0.941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Tomato Ketchup,en:groceries,Groceries,,494.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.41,23.53,,,,,,,,,,0.0,,,,2.39014,0.941,,0.0001764,,,,,0.0071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Ma sauce fromage blanc & moutarde de Dijon,en:groceries,Groceries,http://en.openfoodfacts.org/images/products/00113670/front.3.400.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Tomato Ketchup,en:groceries,Groceries,,494.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.41,23.53,,,,,,,,,,0.0,,,,2.39014,0.941,,0.0001764,,,,,0.0071,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
